county_name,s1,s2,delta
Pest,348444944.11235785,105737947.35285419,-242706996.75950366
főváros,443954673.5935405,202602780.24253178,-241351893.3510087
Veszprém,87220672.12824026,15527950.310559006,-71692721.81768125
Győr-Moson-Sopron,125198108.43061212,66548358.473824315,-58649749.9567878
Szabolcs-Szatmár-Bereg,138693154.41584194,82815734.98964803,-55877419.42619391
Zala,66771869.766426645,32534753.031647436,-34237116.73477921
Bács-Kiskun,126999641.29835552,93907128.06861876,-33092513.22973676
Heves,73640564.90292987,55456965.3948536,-18183599.508076273
Fejér,109586161.0177176,93907128.06861874,-15679032.949098855
Csongrád-Csanád,100989759.75014465,96125406.6844129,-4864353.065731749
Baranya,91846478.90601616,99822537.71073647,7976058.804720312
Komárom-Esztergom,79503370.75225432,88731144.63176575,9227773.87951143
Békés,79572382.70175362,96864832.88967761,17292450.187923998
Tolna,52543772.433898985,80597456.37385389,28053683.939954907
Nógrád,46590288.09279058,81336882.5791186,34746594.48632801
Vas,65443790.970829606,101301390.1212659,35857599.1504363
Jász-Nagykun-Szolnok,90891144.88416825,179680567.87932563,88789422.99515738
Somogy,74861514.68389718,183377698.90564921,108516184.22175203
Borsod-Abaúj-Zemplén,160741669.81633994,364537119.1955043,203795449.37916437
Hajdú-Bihar,136506037.3418844,378586217.09553385,242080179.75364944
