district_name,county_name,need_score,spec_top_count,spec_n_specs
Szerencsi,Borsod-Abaúj-Zemplén,0.8169034810665413,7,7
Edelényi,Borsod-Abaúj-Zemplén,0.8417868487714039,7,7
Ózdi,Borsod-Abaúj-Zemplén,0.9307357838291981,7,7
Csurgói,Somogy,1.0,7,7
Barcsi,Somogy,0.9305339774559814,7,7
Balmazújvárosi,Hajdú-Bihar,0.8167316377836498,6,7
Tabi,Somogy,0.8320165620867751,6,7
Nagyatádi,Somogy,0.7392248026844868,6,7
Marcali,Somogy,0.7918043625537501,6,7
Hajdúhadházi,Hajdú-Bihar,0.7209197712890937,6,7
Salgótarjáni,Nógrád,0.7692228855526766,5,7
Jászapáti,Jász-Nagykun-Szolnok,0.7053682913926165,5,7
Törökszentmiklósi,Jász-Nagykun-Szolnok,0.7033889595067355,5,7
Tokaji,Borsod-Abaúj-Zemplén,0.7228761229493005,5,7
Karcagi,Jász-Nagykun-Szolnok,0.6966400822860433,5,7
Gönci,Borsod-Abaúj-Zemplén,0.7360297478421299,4,7
Encsi,Borsod-Abaúj-Zemplén,0.7997636612839146,4,7
Bátonyterenyei,Nógrád,0.7399952504589815,4,7
Cigándi,Borsod-Abaúj-Zemplén,0.7705589461856596,4,7
Gyomaendrődi,Békés,0.6976689041385012,4,7
Nyíradonyi,Hajdú-Bihar,0.6659866195273894,3,7
Szécsényi,Nógrád,0.6741457814926173,3,7
Mezőtúri,Jász-Nagykun-Szolnok,0.657591841510066,3,7
Berettyóújfalui,Hajdú-Bihar,0.6347314476706949,2,7
Szikszói,Borsod-Abaúj-Zemplén,0.6610128488303547,2,7
Sarkadi,Békés,0.6191619876870401,2,7
Szeghalmi,Békés,0.5978120620014734,2,7
Mezőcsáti,Borsod-Abaúj-Zemplén,0.6737954196009643,2,7
Sellyei,Baranya,0.5859292637639618,1,7
Putnoki,Borsod-Abaúj-Zemplén,0.6180646097366592,1,7
Sátoraljaújhelyi,Borsod-Abaúj-Zemplén,0.6035634617600285,1,7
Sárospataki,Borsod-Abaúj-Zemplén,0.6908241475154423,1,7
Siófoki,Somogy,0.5376047367782946,1,7
Körmendi,Vas,0.4983012425094538,1,7
Kunhegyesi,Jász-Nagykun-Szolnok,0.659164918310047,1,7
Derecskei,Hajdú-Bihar,0.5407778069889054,1,7
Rétsági,Nógrád,0.5746954302710378,1,7
Tamási,Tolna,0.5665021760182615,1,7
Püspökladányi,Hajdú-Bihar,0.5807846083965433,1,7
Kalocsai,Bács-Kiskun,0.3798370582630865,0,7
Bácsalmási,Bács-Kiskun,0.2544246378377704,0,7
Szigetvári,Baranya,0.48657761856647264,0,7
Szentlőrinci,Baranya,0.4477160205667204,0,7
Siklósi,Baranya,0.415792868416789,0,7
Pécsváradi,Baranya,0.2587570071368454,0,7
Hegyháti,Baranya,0.4329798232872194,0,7
Jánoshalmai,Bács-Kiskun,0.2850663831499843,0,7
Bajai,Bács-Kiskun,0.19997915294819016,0,7
Budapest 05. ker.,főváros,0.10243998529918952,0,7
Budapest 01. ker.,főváros,0.11350382308417899,0,7
Budapest 04. ker.,főváros,0.14928123385063663,0,7
Budapest 03. ker.,főváros,0.11596396520647856,0,7
Budapest 02. ker.,főváros,0.05472541328992005,0,7
Budapest 21. ker.,főváros,0.23011205603177817,0,7
Budapest 06. ker.,főváros,0.1894765204206601,0,7
Budapest 08. ker.,főváros,0.19457566223943998,0,7
Budapest 07. ker.,főváros,0.1456976960046495,0,7
Budapest 10. ker.,főváros,0.21062253593176508,0,7
Budapest 11. ker.,főváros,0.10209840906828309,0,7
Budapest 12. ker.,főváros,0.0794012772266034,0,7
Budapest 09. ker.,főváros,0.1688773659415699,0,7
Budapest 14. ker.,főváros,0.20617799369276174,0,7
Budapest 15. ker.,főváros,0.13013654515957135,0,7
