county_name,year,age_group,population
Budapest,2001,age_0_14,226546
Budapest,2002,age_0_14,220122
Budapest,2003,age_0_14,216533
Budapest,2004,age_0_14,212777
Budapest,2005,age_0_14,210835
Budapest,2006,age_0_14,210797
Budapest,2007,age_0_14,210871
Budapest,2008,age_0_14,212663
Budapest,2009,age_0_14,215102
Budapest,2010,age_0_14,218563
Budapest,2011,age_0_14,222948
Budapest,2012,age_0_14,218182
Budapest,2013,age_0_14,223170
Budapest,2014,age_0_14,228183
Budapest,2015,age_0_14,233159
Budapest,2016,age_0_14,235691
Budapest,2017,age_0_14,235146
Budapest,2018,age_0_14,233511
Budapest,2019,age_0_14,231366
Budapest,2020,age_0_14,228649
Budapest,2021,age_0_14,222704
Budapest,2022,age_0_14,216523
Budapest,2023,age_0_14,211060
Budapest,2024,age_0_14,210663
Budapest,2025,age_0_14,206616
Budapest,2026,age_0_14,201978
Pest,2001,age_0_14,189764
Pest,2002,age_0_14,191621
Pest,2003,age_0_14,193378
Pest,2004,age_0_14,195735
Pest,2005,age_0_14,197059
Pest,2006,age_0_14,198534
Pest,2007,age_0_14,200563
Pest,2008,age_0_14,202415
Pest,2009,age_0_14,204521
Pest,2010,age_0_14,206109
Pest,2011,age_0_14,205518
Pest,2012,age_0_14,200791
Pest,2013,age_0_14,200565
Pest,2014,age_0_14,200167
Pest,2015,age_0_14,201197
Pest,2016,age_0_14,202058
Pest,2017,age_0_14,204794
Pest,2018,age_0_14,207948
Pest,2019,age_0_14,211126
Pest,2020,age_0_14,214279
Pest,2021,age_0_14,216947
Pest,2022,age_0_14,220317
Pest,2023,age_0_14,223059
Pest,2024,age_0_14,222013
Pest,2025,age_0_14,219762
Pest,2026,age_0_14,217471
Fejér,2001,age_0_14,74418
Fejér,2002,age_0_14,72917
Fejér,2003,age_0_14,71480
Fejér,2004,age_0_14,70169
Fejér,2005,age_0_14,68886
Fejér,2006,age_0_14,67300
Fejér,2007,age_0_14,65912
Fejér,2008,age_0_14,64702
Fejér,2009,age_0_14,63709
Fejér,2010,age_0_14,62833
Fejér,2011,age_0_14,61916
Fejér,2012,age_0_14,60747
Fejér,2013,age_0_14,60456
Fejér,2014,age_0_14,60236
Fejér,2015,age_0_14,59979
Fejér,2016,age_0_14,60574
Fejér,2017,age_0_14,60122
Fejér,2018,age_0_14,60248
Fejér,2019,age_0_14,60352
Fejér,2020,age_0_14,60485
Fejér,2021,age_0_14,60911
Fejér,2022,age_0_14,61217
Fejér,2023,age_0_14,61989
Fejér,2024,age_0_14,61742
Fejér,2025,age_0_14,61384
Fejér,2026,age_0_14,60888
Komárom-Esztergom,2001,age_0_14,53788
Komárom-Esztergom,2002,age_0_14,52640
Komárom-Esztergom,2003,age_0_14,51620
Komárom-Esztergom,2004,age_0_14,50530
Komárom-Esztergom,2005,age_0_14,49783
Komárom-Esztergom,2006,age_0_14,48774
Komárom-Esztergom,2007,age_0_14,47873
Komárom-Esztergom,2008,age_0_14,47153
Komárom-Esztergom,2009,age_0_14,46630
Komárom-Esztergom,2010,age_0_14,46000
Komárom-Esztergom,2011,age_0_14,45384
Komárom-Esztergom,2012,age_0_14,44023
Komárom-Esztergom,2013,age_0_14,43703
Komárom-Esztergom,2014,age_0_14,43409
Komárom-Esztergom,2015,age_0_14,43429
Komárom-Esztergom,2016,age_0_14,43350
Komárom-Esztergom,2017,age_0_14,43472
Komárom-Esztergom,2018,age_0_14,43483
Komárom-Esztergom,2019,age_0_14,43752
Komárom-Esztergom,2020,age_0_14,43938
Komárom-Esztergom,2021,age_0_14,43931
Komárom-Esztergom,2022,age_0_14,43940
Komárom-Esztergom,2023,age_0_14,43894
Komárom-Esztergom,2024,age_0_14,43598
Komárom-Esztergom,2025,age_0_14,43139
Komárom-Esztergom,2026,age_0_14,42420
Veszprém,2001,age_0_14,62531
Veszprém,2002,age_0_14,60708
Veszprém,2003,age_0_14,58610
Veszprém,2004,age_0_14,57379
Veszprém,2005,age_0_14,55829
Veszprém,2006,age_0_14,54443
Veszprém,2007,age_0_14,52885
Veszprém,2008,age_0_14,51760
Veszprém,2009,age_0_14,50759
Veszprém,2010,age_0_14,50122
Veszprém,2011,age_0_14,48885
Veszprém,2012,age_0_14,48685
Veszprém,2013,age_0_14,47787
Veszprém,2014,age_0_14,47293
Veszprém,2015,age_0_14,47043
Veszprém,2016,age_0_14,46916
Veszprém,2017,age_0_14,46925
Veszprém,2018,age_0_14,46722
Veszprém,2019,age_0_14,46530
Veszprém,2020,age_0_14,46280
Veszprém,2021,age_0_14,46355
Veszprém,2022,age_0_14,46220
Veszprém,2023,age_0_14,46499
Veszprém,2024,age_0_14,45802
Veszprém,2025,age_0_14,45163
Veszprém,2026,age_0_14,44503
Győr-Moson-Sopron,2001,age_0_14,69288
Győr-Moson-Sopron,2002,age_0_14,68123
Győr-Moson-Sopron,2003,age_0_14,67864
Győr-Moson-Sopron,2004,age_0_14,67008
Győr-Moson-Sopron,2005,age_0_14,66181
Győr-Moson-Sopron,2006,age_0_14,65616
Győr-Moson-Sopron,2007,age_0_14,65278
Győr-Moson-Sopron,2008,age_0_14,65018
Győr-Moson-Sopron,2009,age_0_14,65075
Győr-Moson-Sopron,2010,age_0_14,65056
Győr-Moson-Sopron,2011,age_0_14,64851
Győr-Moson-Sopron,2012,age_0_14,63540
Győr-Moson-Sopron,2013,age_0_14,63932
Győr-Moson-Sopron,2014,age_0_14,64215
Győr-Moson-Sopron,2015,age_0_14,64680
Győr-Moson-Sopron,2016,age_0_14,65149
Győr-Moson-Sopron,2017,age_0_14,65498
Győr-Moson-Sopron,2018,age_0_14,66155
Győr-Moson-Sopron,2019,age_0_14,66936
Győr-Moson-Sopron,2020,age_0_14,67568
Győr-Moson-Sopron,2021,age_0_14,68651
Győr-Moson-Sopron,2022,age_0_14,68955
Győr-Moson-Sopron,2023,age_0_14,69355
Győr-Moson-Sopron,2024,age_0_14,69731
Győr-Moson-Sopron,2025,age_0_14,69452
Győr-Moson-Sopron,2026,age_0_14,68841
Vas,2001,age_0_14,43431
Vas,2002,age_0_14,42535
Vas,2003,age_0_14,41497
Vas,2004,age_0_14,40549
Vas,2005,age_0_14,39573
Vas,2006,age_0_14,38687
Vas,2007,age_0_14,37800
Vas,2008,age_0_14,36993
Vas,2009,age_0_14,36285
Vas,2010,age_0_14,35483
Vas,2011,age_0_14,34559
Vas,2012,age_0_14,34056
Vas,2013,age_0_14,33532
Vas,2014,age_0_14,33309
Vas,2015,age_0_14,33020
Vas,2016,age_0_14,32847
Vas,2017,age_0_14,32732
Vas,2018,age_0_14,32673
Vas,2019,age_0_14,32725
Vas,2020,age_0_14,32733
Vas,2021,age_0_14,32789
Vas,2022,age_0_14,32760
Vas,2023,age_0_14,33425
Vas,2024,age_0_14,33220
Vas,2025,age_0_14,32946
Vas,2026,age_0_14,32576
Zala,2001,age_0_14,46955
Zala,2002,age_0_14,45815
Zala,2003,age_0_14,44462
Zala,2004,age_0_14,43236
Zala,2005,age_0_14,42061
Zala,2006,age_0_14,40897
Zala,2007,age_0_14,39922
Zala,2008,age_0_14,38966
Zala,2009,age_0_14,38408
Zala,2010,age_0_14,37480
Zala,2011,age_0_14,36651
Zala,2012,age_0_14,36513
Zala,2013,age_0_14,35860
Zala,2014,age_0_14,35218
Zala,2015,age_0_14,34999
Zala,2016,age_0_14,34649
Zala,2017,age_0_14,34334
Zala,2018,age_0_14,34087
Zala,2019,age_0_14,33846
Zala,2020,age_0_14,33524
Zala,2021,age_0_14,33023
Zala,2022,age_0_14,32659
Zala,2023,age_0_14,32697
Zala,2024,age_0_14,32225
Zala,2025,age_0_14,31450
Zala,2026,age_0_14,30895
Baranya,2001,age_0_14,65908
Baranya,2002,age_0_14,64578
Baranya,2003,age_0_14,63360
Baranya,2004,age_0_14,61944
Baranya,2005,age_0_14,60954
Baranya,2006,age_0_14,59662
Baranya,2007,age_0_14,58576
Baranya,2008,age_0_14,57572
Baranya,2009,age_0_14,56520
Baranya,2010,age_0_14,55645
Baranya,2011,age_0_14,54691
Baranya,2012,age_0_14,53211
Baranya,2013,age_0_14,52361
Baranya,2014,age_0_14,51868
Baranya,2015,age_0_14,51476
Baranya,2016,age_0_14,50958
Baranya,2017,age_0_14,50424
Baranya,2018,age_0_14,50095
Baranya,2019,age_0_14,49554
Baranya,2020,age_0_14,49047
Baranya,2021,age_0_14,48724
Baranya,2022,age_0_14,47957
Baranya,2023,age_0_14,47277
Baranya,2024,age_0_14,46670
Baranya,2025,age_0_14,45796
Baranya,2026,age_0_14,44933
Somogy,2001,age_0_14,56790
Somogy,2002,age_0_14,55564
Somogy,2003,age_0_14,54685
Somogy,2004,age_0_14,53694
Somogy,2005,age_0_14,52443
Somogy,2006,age_0_14,51004
Somogy,2007,age_0_14,49779
Somogy,2008,age_0_14,48380
Somogy,2009,age_0_14,47075
Somogy,2010,age_0_14,45972
Somogy,2011,age_0_14,44863
Somogy,2012,age_0_14,44867
Somogy,2013,age_0_14,43877
Somogy,2014,age_0_14,42912
Somogy,2015,age_0_14,42360
