year,salmonellosis,hepatitis_a,scarlet_fever,varicella,mumps,rotavirus,lyme
2012,5867,522,2744,33454,4,5204,1523
2013,5122,1333,2339,34598,8,4804,1124
2014,5523,1812,2077,28882,2,6964,615
2015,5069,1214,2643,41620,6,6498,1420
2016,5101,992,4776,37843,1,4884,1338
2017,4103,662,4371,33381,1,5299,1480
2018,4640,482,2842,24176,1,2949,1610
2019,5173,393,3739,30412,1,3906,1392
2020,3007,256,1434,13600,,746,1522
2021,3340,267,400,10016,,1233,1213
2022,3271,830,1252,15196,2,2006,1529
2023,4583,602,9108,15577,,2361,1415
2024,4678,616,6179,11748,1,3132,1951
2025,4219,2381,3691,8548,,2794,1546
