year,month,campylobacteriosis,salmonellosis,rotavirus,hepatitis_a,scarlet_fever,varicella,lyme
2020,1,358,192,130,31,498,2612,24
2020,2,272,191,141,36,436,3187,14
2020,3,236,113,120,16,246,3141,23
2020,4,150,113,51,13,19,550,64
2020,5,328,186,57,24,18,129,172
2020,6,595,392,39,26,23,144,423
2020,7,615,441,43,28,15,155,364
2020,8,491,403,44,24,9,162,198
2020,9,458,420,27,22,30,232,105
2020,10,391,262,23,17,58,725,60
2020,11,367,200,24,8,53,1138,44
2020,12,221,94,47,11,29,1425,31
2021,1,309,192,63,17,62,1120,23
2021,2,336,178,72,15,52,1617,14
2021,3,270,161,100,19,36,1306,15
2021,4,344,173,145,17,9,246,54
2021,5,528,267,176,31,22,376,135
2021,6,549,361,110,27,30,591,303
2021,7,498,504,58,18,5,227,271
2021,8,516,511,74,25,11,168,169
2021,9,467,342,88,24,24,362,91
2021,10,433,275,85,22,44,893,58
2021,11,502,220,120,16,44,1316,52
2021,12,337,156,142,36,61,1794,28
2022,1,292,133,166,51,63,1669,27
2022,2,281,108,174,46,55,1610,21
2022,3,338,150,254,105,61,1817,22
2022,4,392,196,418,99,51,1659,59
2022,5,567,248,355,127,81,1732,179
2022,6,510,299,173,92,63,1389,397
2022,7,498,365,99,82,37,403,290
2022,8,470,448,82,54,43,212,227
2022,9,406,481,68,61,65,217,142
2022,10,459,340,69,48,157,762,67
2022,11,488,298,62,39,251,1525,65
2022,12,349,205,86,26,325,2201,33
2023,1,288,238,78,46,512,1388,49
2023,2,267,178,98,45,689,1842,37
2023,3,307,183,167,39,887,2702,66
2023,4,319,293,205,43,933,2067,77
2023,5,492,411,204,53,1863,2171,213
2023,6,621,534,148,52,1099,1350,334
2023,7,607,662,130,46,218,286,249
2023,8,650,611,164,57,94,73,185
2023,9,531,539,124,64,192,189,92
2023,10,486,461,170,66,598,663,64
2023,11,523,289,319,62,823,1164,30
2023,12,405,184,554,29,1200,1682,19
2024,1,388,189,799,55,1187,1503,39
2024,2,400,171,735,30,1001,1738,25
2024,3,389,190,514,36,705,1536,70
2024,4,631,363,285,38,507,1057,136
2024,5,634,482,148,49,597,1272,304
2024,6,613,670,73,56,817,888,434
2024,7,532,567,86,58,117,201,392
2024,8,438,609,125,56,38,85,205
2024,9,468,582,107,53,134,118,142
2024,10,534,347,58,42,244,792,93
2024,11,504,316,98,60,337,978,65
2024,12,331,192,104,83,495,1580,46
2025,1,291,153,203,164,423,1307,43
2025,2,283,98,158,151,377,1201,22
2025,3,278,158,241,182,412,1562,44
2025,4,317,245,276,135,358,1360,77
2025,5,609,417,193,145,508,740,240
2025,6,611,435,122,143,292,653,354
2025,7,559,658,164,182,103,188,337
2025,8,587,512,236,183,53,75,180
2025,9,502,574,189,285,126,109,94
2025,10,458,408,225,327,277,315,64
2025,11,453,365,352,284,371,380,56
2025,12,298,196,435,200,391,658,35
