year,health_cpi_yoy,total_cpi_yoy,headline_cpi_yoy,health_cpi_idx2025,total_cpi_idx2025,headline_cpi_idx2025
2001,111.8,109.1,,27.146082806717402,32.62294970884372,49.496509170397765
2002,108.5,105.2,,29.45349984528838,34.319343093703594,49.496509170397765
2003,107.3,104.7,,31.60360533399443,35.93235221910766,49.496509170397765
2004,107.1,106.8,,33.847461312708035,38.37575217000698,49.496509170397765
2005,108.2,103.5,,36.6229531403501,39.71890349595722,49.496509170397765
2006,104.4,104.0,,38.234363078525504,41.30765963579551,49.496509170397765
2007,120.2,107.9,,45.95770442038766,44.57096474702335,49.496509170397765
2008,99.4,106.0,,45.681958193865334,47.245222631844754,49.496509170397765
2009,103.5,104.0,,47.28082673065062,49.13503153711854,49.496509170397765
2010,105.0,104.7,104.9,49.64486806718315,51.444378019363114,51.921838119747264
2011,102.9,103.9,103.9,51.08456924113146,53.45070876211828,53.946789806417414
2012,103.5,105.7,105.7,52.872529164571056,56.497399161559024,57.0217568253832
2013,103.3,101.7,101.7,54.6173226270019,57.457854947305535,57.99112669141472
2014,103.5,100.0,99.8,56.52892891894696,57.457854947305535,57.87514443803189
2015,104.3,100.1,99.9,58.95967286246167,57.515312802252836,57.81726929359386
2016,102.2,100.45,100.4,60.25678566543583,57.77413170986297,58.048538370768235
2017,103.5,102.4,102.4,62.365773163726075,59.160710870899685,59.44170329166668
2018,103.2,102.9,102.8,64.36147790496531,60.87637148615578,61.10607098383335
2019,103.8,103.4,103.4,66.80721406535399,62.94616811668508,63.18367739728368
2020,103.9,103.4,103.3,69.41269541390281,65.08633783265238,65.26873875139404
2021,104.7,105.2,105.1,72.67509209835623,68.47082739995031,68.59744442771513
2022,107.5,115.3,114.5,78.12572400573295,78.94686399214271,78.54407386973382
2023,111.8,117.0,117.6,87.34455943840943,92.36783087080697,92.36783087080697
2024,107.3,103.7,103.7,93.72071227741331,95.78544061302682,95.78544061302682
2025,106.7,104.4,104.4,100.0,100.0,100.0
