district_name,county_name,need_score,birth_cohort,subsidy_cost,averted_societal,net_benefit,benefit_cost_ratio
Csurgói,Somogy,1.0,135.98856355752793,3345318.663515187,5247487.618016496,1902168.9545013094,1.5686062064122024
Ózdi,Borsod-Abaúj-Zemplén,0.9307357838291981,519.0051213951708,12767525.986321202,15497010.619928388,2729484.6336071864,1.2137833622999072
Barcsi,Somogy,0.9305339774559814,191.86734734348454,4719936.744649719,7403722.071530557,2683785.326880838,1.5686062064122026
Edelényi,Borsod-Abaúj-Zemplén,0.8417868487714039,332.670165243872,8183686.064999252,9933221.987981692,1749535.9229824403,1.2137833622999077
Tabi,Somogy,0.8320165620867751,103.44177068873418,2544667.5589428605,3991581.3262135615,1446913.767270701,1.568606206412203
Szerencsi,Borsod-Abaúj-Zemplén,0.8169034810665413,398.2495824804886,9796939.72902002,11891362.444539463,2094422.7155194432,1.2137833622999075
Balmazújvárosi,Hajdú-Bihar,0.8167316377836498,284.3201584087019,6994275.896854066,11290855.449871112,4296579.553017045,1.6142994094570378
Encsi,Borsod-Abaúj-Zemplén,0.7997636612839146,225.49437238946302,5547161.56078079,6733052.41046531,1185890.8496845206,1.2137833622999077
Marcali,Somogy,0.7918043625537501,290.8000457357652,7153681.125099823,11221308.61152541,4067627.486425588,1.5686062064122026
Cigándi,Borsod-Abaúj-Zemplén,0.7705589461856596,158.7552986204716,3905380.3460636013,4740285.687505054,834905.341441453,1.2137833622999075
Salgótarjáni,Nógrád,0.7692228855526766,524.2130487951911,12895641.0003617,13544398.392216323,648757.3918546233,1.050308270200483
Bátonyterenyei,Nógrád,0.7399952504589815,179.2231201593781,4408888.755920702,4630692.32273743,221803.56681672856,1.0503082702004827
Nagyatádi,Somogy,0.7392248026844868,204.9731556070083,5042339.627932404,7909445.235212966,2867105.6072805617,1.5686062064122026
Gönci,Borsod-Abaúj-Zemplén,0.7360297478421299,180.0492816134991,4429212.3276920775,5376104.2314462885,946891.903754211,1.2137833622999072
Tokaji,Borsod-Abaúj-Zemplén,0.7228761229493005,125.59584444111626,3089657.77325146,3750175.2003732026,660517.4271217426,1.2137833622999077
Hajdúhadházi,Hajdú-Bihar,0.7209197712890937,236.84589345427577,5826408.978975184,9405568.57401482,3579159.595039636,1.6142994094570373
Jászapáti,Jász-Nagykun-Szolnok,0.7053682913926165,305.0906222869671,7505229.308259391,8565160.760399284,1059931.4521398926,1.1412257252384619
