year,gini_rate,cv_rate,total_cases,partial
2017,0.34557568013556794,0.6791611073465561,2361,True
2018,0.362642514093262,0.6786405277351357,3129,False
2019,0.308260790702135,0.577106390746452,4280,False
2020,0.3848708624711659,0.7248071547501401,832,False
2021,0.40621535071943,0.9142547329410989,1319,False
2022,0.31111419595998885,0.5771377423040913,2116,False
2023,0.3533519908686062,0.6382004951393891,2312,False
2024,0.3361945938134899,0.6149309844173116,3381,False
2025,0.340398526512578,0.6385306132934493,2709,False
2026,0.2958497638991939,0.5847023902261184,4643,True
