district_name,county_name,p_top_decile,need_score,lambda,jobseeker_rate,vacant_paed
Ózdi,Borsod-Abaúj-Zemplén,1.0,0.9307357838291981,38.00192950926064,0.13402793519208145,7.0
Barcsi,Somogy,1.0,0.9305339774559814,18.15548373611178,0.10286868243160797,3.0
Csurgói,Somogy,1.0,1.0,12.867943337674658,0.08378955342078986,4.0
Edelényi,Borsod-Abaúj-Zemplén,0.998,0.8417868487714039,24.358349558184813,0.11253831127277628,4.0
Szerencsi,Borsod-Abaúj-Zemplén,0.995,0.8169034810665413,29.160121811192653,0.10284787868557282,5.0
Balmazújvárosi,Hajdú-Bihar,0.9915,0.8167316377836498,27.68755235629025,0.07049226365184622,4.0
Tabi,Somogy,0.983,0.8320165620867751,9.788196956785063,0.0668794133623031,2.0
Marcali,Somogy,0.9805,0.7918043625537501,27.517008880956592,0.07232393005506714,4.0
Encsi,Borsod-Abaúj-Zemplén,0.951,0.7997636612839146,16.51086066596775,0.170759732677449,0.0
Cigándi,Borsod-Abaúj-Zemplén,0.9195,0.7705589461856596,11.624177524836503,0.1585150681064295,0.0
Salgótarjáni,Nógrád,0.9095,0.7692228855526766,33.213713636128766,0.09371999277449779,9.0
Tokaji,Borsod-Abaúj-Zemplén,0.8805,0.7228761229493005,9.196218361539612,0.09475221909987064,1.0
Nagyatádi,Somogy,0.878,0.7392248026844868,19.395623301657743,0.08898140533625731,1.0
Gönci,Borsod-Abaúj-Zemplén,0.8315,0.7360297478421299,13.183338325595326,0.14482404555213294,0.0
