param,low,high,spread
Járóbeteg pont / eset,2.70065404875,2.70902202375,0.008367974999999639
Háziorvosi vizit költsége,2.68949674875,2.73133662375,0.04183987499999997
Fekvőbeteg alapdíj (Ft/súlyszám),2.55281982375,2.9544826237500006,0.40166280000000043
Napi bruttó bér,2.469197128125,2.937689619375,0.46849249125000014
HBCs‑súlyszám (gyermek GE),2.36111712375,3.15987837375,0.7987612499999996
Szülői munkakiesés valószínűsége,2.2349508825,3.0782373667499994,0.8432864842499992
Kórházi felvételi arány,2.1611309737500006,3.38133387375,1.2202028999999994
Kiesett munkanapok / eset,2.000704636875,3.64042835625,1.639723719375
Betegségteher ±50% sáv,1.351721686875,4.055165060625,2.70344337375
Aluljelentési szorzó,1.62206602425,8.11033012125,6.488264097
